Tanggal,Media,Topik,Topik_Cleaned,label
6-Jan-21,Website,Susah buang sampah rumah tangga,susah buang sampah rumah tangga,1
6-Jan-21,Lapor Sleman,Lampu PJU Mati Di Jalan Besi Jangkang,lampu pju mati jalan besi jangkang,1
6-Jan-21,Lapor Sleman,Lampu Hati2,lampu hati,1
6-Jan-21,Instagram,Penemuan SIM A,penemuan sim a,0
6-Jan-21,Instagram,Legalisir KK online,legalisir kk online,0
6-Jan-21,Instagram,Data Kependudukan tidak sama,data kependudukan sama,0
6-Jan-21,Twitter,Instruksi Presiden PSBB,instruksi presiden psbb,0
6-Jan-21,Twitter,Peta Epidemiologi,peta epidemiologi,0
7-Jan-21,Instagram,Instruksi Presiden PSBB,instruksi presiden psbb,0
7-Jan-21,Twitter,Instruksi Presiden PSBB,instruksi presiden psbb,0
7-Jan-21,Twitter,Jogging track digunakan parkir mobil,jogging track digunakan parkir mobil,1
7-Jan-21,Lapor Sleman,LAPORAN KAMPUS STPN BANYAK TARUNA YG POSITIF,laporan kampus stpn banyak taruna positif,0
7-Jan-21,Instagram,Informasi CPNS,cpns,0
7-Jan-21,Lapor Sleman,UPDATE E-KTP & KK,update ektp kk,0
7-Jan-21,Instagram,Satgas Covid - 19 Kab Sleman,satgas covid kab,0
7-Jan-21,Instagram,Jalan Gito - Gati,jalan gito gati,0
8-Jan-21,Instagram,Instruksi Presiden PSBB,instruksi presiden psbb,0
8-Jan-21,Instagram,APILL Mati,apill mati,1
8-Jan-21,Instagram,Jalan berlubang,jalan berlubang,1
8-Jan-21,Instagram,Tong Air Dijalan PJKA Kurang Diperhatikan,tong air dijalan pjka kurang diperhatikan,1
8-Jan-21,Twitter,Jalan berlubang,jalan berlubang,1
8-Jan-21,Lapor Sleman,Jalan Berlubang,jalan berlubang,1
8-Jan-21,Lapor Sleman,PENGURUSAN SURAT,pengurusan surat,0
8-Jan-21,Twitter,Sosialisasi Instruksi Bupati Sleman tentang Kebijakan Pengetatan Secara terbatas Kegiatan Masyarakat,sosialisasi instruksi bupati kebijakan pengetatan terbatas kegiatan masyarakat,0
8-Jan-21,Website,Permohonan IMB,permohonan imb,0
8-Jan-21,Website,Aturna jam operasional kantor,aturna jam operasional kantor,0
8-Jan-21,Instagram,Instruksi Bupati Sleman tentang Kebijakan Pengetatan Secara terbatas Kegiatan Masyarakat,instruksi bupati kebijakan pengetatan terbatas kegiatan masyarakat,0
8-Jan-21,Instagram,Penggantian nama KK,penggantian nama kk,0
8-Jan-21,Instagram,Surat pengehentian sementara aktivitsa wisata,surat pengehentian aktivitsa wisata,0
8-Jan-21,Instagram,Pindah datang,pindah datang,0
9-Jan-21,Instagram,Jamkesda,jamkesda,0
9-Jan-21,Facebook Pemkab Sleman,Bantuan untuk keluarga yang menjalani isolasi,bantuan keluarga menjalani isolasi,0
9-Jan-21,Instagram,Prosedur menyelenggarakan hajatan,prosedur menyelenggarakan hajatan,0
9-Jan-21,Instagram,Pelatihan BLK,pelatihan blk,0
9-Jan-21,Instagram,Jalan berlubang,jalan berlubang,1
9-Jan-21,Instagram,Bantuan untuk keluarga yang menjalani isolasi,bantuan keluarga menjalani isolasi,0
9-Jan-21,Instagram,Jadwal SIM keliling,jadwal sim keliling,0
9-Jan-21,Instagram,Foto KTP,foto ktp,0
9-Jan-21,Instagram,Prosedur keluar masuk DIY saat KPSTKM,prosedur keluar masuk diy kpstkm,0
9-Jan-21,Instagram,Keluarga terpapar yang masih keluar masuk rumah,keluarga terpapar keluar masuk rumah,0
9-Jan-21,Instagram,Jalan rusak,jalan rusak,1
9-Jan-21,Twitter,Pelayanan SIM,pelayanan sim,0
9-Jan-21,Twitter,Aliran PDAM,aliran pdam,0
9-Jan-21,Twitter,Foto KTP,foto ktp,0
9-Jan-21,Twitter,Instruksi Bupati Sleman tentang Kebijakan Pengetatan Secara terbatas Kegiatan Masyarakat,instruksi bupati kebijakan pengetatan terbatas kegiatan masyarakat,0
9-Jan-21,Lapor Sleman,Memainkan Musik Kencang Sekali,memainkan musik kencang sekali,0
9-Jan-21,Lapor Sleman,Jalan Berlubang Lokasi Jl Damai,jalan berlubang lokasi jl damai,1
9-Jan-21,Lapor Sleman,Jalan Berlubang Dan Ambles,jalan berlubang ambles,1
9-Jan-21,Lapor Sleman,Jalan Berlubang,jalan berlubang,1
9-Jan-21,Lapor Sleman,Jalan Berlaubang Di Jl. Palagan KM 8,jalan berlaubang jl palagan,0
9-Jan-21,Twitter,Sumbangan buku bacaan,sumbangan buku bacaan,0
9-Jan-21,Website,Pelanggaran Protokol Kesehatan,pelanggaran protokol kesehatan,0
9-Jan-21,Website,Bantuan untuk janda,bantuan janda,0
9-Jan-21,Website,Bantuan untuk keluarga yang menjalani isolasi,bantuan keluarga menjalani isolasi,0
9-Jan-21,Website,Peningkatan jalan dan pemasangan PJU,peningkatan jalan pemasangan pju,1
9-Jan-21,Website,Mengganggu kenyamanan lingkungan,mengganggu kenyamanan lingkungan,0
9-Jan-21,Website,Jalan rusak,jalan rusak,1
9-Jan-21,Facebook Grup ICJ,Spanduk menutupi APILL,spanduk menutupi apill,0
10-Jan-21,Facebook Grup ICJ,Perbaikan GOR Pangukan,perbaikan gor pangukan,0
10-Jan-21,Facebook Grup ICJ,Jalan berlubang,jalan berlubang,1
10-Jan-21,Lapor Sleman,Jalan Berlubang Di Saluran Drainase,jalan berlubang saluran drainase,1
10-Jan-21,Lapor Sleman,Daftar Akta Kelahiran Dan Kk Online,daftar akta kelahiran kk online,0
10-Jan-21,Lapor Sleman,Butuh Bantuan Talut Sungai.,butuh bantuan talut sungai,0
10-Jan-21,Lapor Sleman,Jalan Berlubang,jalan berlubang,1
10-Jan-21,Twitter,Instruksi Bupati Sleman tentang Kebijakan Pengetatan Secara terbatas Kegiatan Masyarakat,instruksi bupati kebijakan pengetatan terbatas kegiatan masyarakat,0
10-Jan-21,Twitter,Relokasi sementara pedagang Pasar Balerante,relokasi pedagang pasar balerante,0
10-Jan-21,Twitter,Banner CIta Mas Jajar,banner cita mas jajar,0
10-Jan-21,Website,Kandang ayam menyebabkan bau,kandang ayam menyebabkan bau,1
10-Jan-21,Instagram,Instruksi Bupati Sleman tentang Kebijakan Pengetatan Secara terbatas Kegiatan Masyarakat,instruksi bupati kebijakan pengetatan terbatas kegiatan masyarakat,0
11-Jan-21,Website,Pengembangan smart city app,pengembangan smart city app,0
11-Jan-21,Website,Jalan berlubang,jalan berlubang,1
11-Jan-21,Lapor Sleman,Perkembangan Aplikasi Sleman Smart City Regency,perkembangan aplikasi smart city regency,0
11-Jan-21,Twitter,Pelanggaran Protokol Kesehatan,pelanggaran protokol kesehatan,0
11-Jan-21,Lapor Sleman,PUNGUTAN DI SD NEGERI LEDOKNONGKO,pungutan sd negeri ledoknongko,0
11-Jan-21,Instagram,Pindah datang,pindah datang,0
11-Jan-21,Instagram,Bpjs pemerintah,bpjs pemerintah,0
11-Jan-21,Instagram,KTP Rusak,ktp rusak,1
11-Jan-21,Instagram,Hajatan saat Pengetatan Secara Terbatas Kegiatan Masyarakat,hajatan pengetatan terbatas kegiatan masyarakat,0
11-Jan-21,Instagram,Informasi kontak Puskeswan,kontak puskeswan,0
11-Jan-21,Twitter,Reklame tidak berizin,reklame berizin,0
11-Jan-21,Twitter,Pelanggaran Protokol Kesehatan saat PSTKM,pelanggaran protokol kesehatan pstkm,0
11-Jan-21,Twitter,Jam Pelayanan Dukcapil,jam pelayanan dukcapil,0
11-Jan-21,Instagram,Pelanggaran Protokol Kesehatan saat PSTKM,pelanggaran protokol kesehatan pstkm,0
11-Jan-21,Instagram,Update KK online,update kk online,0
11-Jan-21,Twitter,Data jumlah kasus covid - 19,data jumlah kasus covid,0
11-Jan-21,Twitter,Jalan Gito - Gati,jalan gito gati,0
11-Jan-21,Twitter,Warung menjual makanan berpengawet,warung menjual makanan berpengawet,0
11-Jan-21,Twitter,Sistem layanan online dukcapil,sistem layanan online dukcapil,0
11-Jan-21,Website,Bantuan sosial,bantuan sosial,0
11-Jan-21,Lapor Sleman,Papan Iklan Di Badan Jalan,papan iklan badan jalan,0
11-Jan-21,Lapor Sleman,Butuh Bantuan Talut Sungai..,butuh bantuan talut sungai,0
11-Jan-21,Lapor Sleman,Jl Berlubang,jl berlubang,1
11-Jan-21,Instagram,Penyelenggaraan hajatan,penyelenggaraan hajatan,0
11-Jan-21,Instagram,Pembangunan talud kekurangan dana,pembangunan talud kekurangan dana,0
11-Jan-21,Instagram,Pengetatan Terbatas Kegiatan Masyarakat PTKM,pengetatan terbatas kegiatan masyarakat ptkm,0
11-Jan-21,Instagram,Toko masih buka sampai malam saat diberlakukan PTKM,toko buka diberlakukan ptkm,0
12-Jan-21,Instagram,Pengetatan Terbatas Kegiatan Masyarakat PTKM,pengetatan terbatas kegiatan masyarakat ptkm,0
12-Jan-21,Instagram,Saran agar RS Taurot menyediakan tempat cuci tangan,saran rs taurot menyediakan tempat cuci tangan,0
12-Jan-21,Website,Median Jalan Ring Road Utara,median jalan ring road utara,0
12-Jan-21,Website,Percetakan tidak menerapkan isntruksi bupati tentang PTKM,percetakan menerapkan isntruksi bupati ptkm,0
12-Jan-21,Instagram,Percetakan tidak menerapkan isntruksi bupati tentang PTKM,percetakan menerapkan isntruksi bupati ptkm,0
12-Jan-21,Website,Jalan Jemblong,jalan jemblong,0
12-Jan-21,Twitter,Sekolah tidak menerapkan Instruksi Bupati tentang PTKM,sekolah menerapkan instruksi bupati ptkm,0
12-Jan-21,Twitter,Rambu jalan tertutup pohon,rambu jalan tertutup pohon,1
12-Jan-21,Twitter,Legalisir akta nikah,legalisir akta nikah,0
12-Jan-21,Twitter,Aliran air PDAM,aliran air pdam,1
12-Jan-21,Website,Antrian pelayanan BPN membuat kerumunan saat PTKM,antrian pelayanan bpn membuat kerumunan ptkm,0
12-Jan-21,Website,Antrian pelayanan BPN tidak manusiawi,antrian pelayanan bpn manusiawi,0
12-Jan-21,Website,Bantuan sosial TKSK,bantuan sosial tksk,0
12-Jan-21,Instagram,Masuk wilayah Sleman saat diberlakukan PTKM,masuk wilayah diberlakukan ptkm,0
12-Jan-21,Instagram,Resto buka sampai malam saat diberlakukan PTKM,resto buka diberlakukan ptkm,0
12-Jan-21,Instagram,Resto menerima tamu makan ditempat di atas jam 7 malam saat diberlakukan PTKM,resto menerima tamu makan ditempat atas jam diberlakukan ptkm,0
12-Jan-21,Instagram,Cafe Kopi Beranda menerima tamu di atas jam 7 malam saat diberlakukan PTKM,cafe kopi beranda menerima tamu atas jam diberlakukan ptkm,0
12-Jan-21,Instagram,Kerumunan sepanjang jalan mirota kampus ke utara saat diberlakukan PTKM,kerumunan sepanjang jalan mirota kampus utara diberlakukan ptkm,0
12-Jan-21,Instagram,Defender ring road rusak,defender ring road rusak,1
12-Jan-21,Instagram,Kebijakan sleman mengenai sekolah offline,kebijakan mengenai sekolah offline,0
12-Jan-21,Twitter,PJU di jalur evakuasi merapi,pju jalur evakuasi merapi,1
13-Jan-21,Twitter,Penutupan sementara taman denggung selama PTKM,penutupan taman denggung selama ptkm,1
13-Jan-21,Twitter,Jalan Nasional rusak,jalan nasional rusak,1
13-Jan-21,Lapor.go.id,Klaster Covid19 STPN,klaster covid stpn,0
13-Jan-21,Instagram,Pemberlakuan PTKM,pemberlakuan ptkm,0
13-Jan-21,Instagram,Magang di Dinas Kominfo,magang dinas kominfo,0
13-Jan-21,Instagram,Jam pelayanan Dukcapil selama diberlakukan PTKM,jam pelayanan dukcapil selama diberlakukan ptkm,1
13-Jan-21,Facebook Pemkab Sleman,Jam pelayanan Dukcapil selama diberlakukan PTKM,jam pelayanan dukcapil selama diberlakukan ptkm,1
13-Jan-21,Instagram,Pertanyaan harus tes antigen atau PCR,pertanyaan tes antigen pcr,0
13-Jan-21,Instagram,Pengajuan kartu miskin,pengajuan kartu miskin,0
13-Jan-21,Instagram,Pengajuan BLT untuk anak sekolah,pengajuan blt anak sekolah,0
13-Jan-21,Website,Jalan berlubang,jalan berlubang,1
13-Jan-21,Twitter,daftar tempat/hotel sleman utk isolasi,daftar tempathotel isolasi,0
13-Jan-21,Lapor Sleman,Update Data Kependudukan,update data kependudukan,0
13-Jan-21,Instagram,Jam pelayanan dinas dan kecamatan selama PTKM,jam pelayanan dinas kecamatan selama ptkm,1
13-Jan-21,Instagram,Informasi kemenkes,kemenkes,0
13-Jan-21,Instagram,Rumah makan menerima makan ditempat saat diberlakukan PTKM,rumah makan menerima makan ditempat diberlakukan ptkm,0
13-Jan-21,Facebook Pemkab Sleman,Jalan berlubang,jalan berlubang,1
13-Jan-21,Lapor Sleman,Lampu PJU Di Jln Besi Jangkang Byar Pet Kalau Hujan,lampu pju jln besi jangkang byar pet kalau hujan,1
13-Jan-21,Lapor Sleman,Cafe menerima tamu di atas jam 7 malam saat diberlakukan PTKM,cafe menerima tamu atas jam diberlakukan ptkm,0
13-Jan-21,Lapor Sleman,Undangan Penerima Bantuan Sosial Tunai Tidak Sampai Ke Penerima,undangan penerima bantuan sosial tunai penerima,0
13-Jan-21,Website,smpit salman al farisi ingin melaksanakan pembelajaran secara ofline pada tanggal 19 januari,smpit salman al farisi melaksanakan pembelajaran ofline tanggal januari,0
14-Jan-21,Twitter,Perpanjang SIM,perpanjang sim,0
14-Jan-21,Twitter,Aturan jam operasional warung makan saat diberlakukan PTKM,aturan jam operasional warung makan diberlakukan ptkm,0
14-Jan-21,Instagram,Launching vaksin corona,launching vaksin corona,0
14-Jan-21,Instagram,Tanah longsor berbahaya,tanah longsor berbahaya,1
14-Jan-21,Instagram,Keluar kota saat diberlakukan PTKM,keluar kota diberlakukan ptkm,0
14-Jan-21,Twitter,Daftar online KIR,daftar online kir,0
14-Jan-21,Twitter,Pembuatan nomor rumah,pembuatan nomor rumah,0
14-Jan-21,Lapor Sleman,Pengurusan Letter C,pengurusan letter c,0
14-Jan-21,Lapor Sleman,Prokes Di Warung Makan saat diberlakukan PTKM,prokes warung makan diberlakukan ptkm,0
14-Jan-21,Website,bantuan sosial bagi penderita gagal ginjal,bantuan sosial penderita gagal ginjal,0
14-Jan-21,Instagram,Pemberlakuan jam operasional usaha saat diberlakukan PTKM,pemberlakuan jam operasional usaha diberlakukan ptkm,0
14-Jan-21,Instagram,Cara mendapatkan vaksin untuk masyarakat umur 50th,cara mendapatkan vaksin masyarakat umur th,0
14-Jan-21,Facebook Pemkab Sleman,Sinkronisasi data kependudukan,sinkronisasi data kependudukan,0
14-Jan-21,Website,Kartu miskin masih jadis atu dengan orang tua,kartu miskin jadis atu orang tua,0
15-Jan-21,Twitter,SK Bupati,sk bupati,0
15-Jan-21,Instagram,Kontak Center Posko PTKM,kontak center posko ptkm,0
15-Jan-21,Instagram,Legalisir Dokumen kependudukan secara online,legalisir dokumen kependudukan online,0
15-Jan-21,Instagram,Layanan online Dukcapil,layanan online dukcapil,0
15-Jan-21,Instagram,Pembakaran sampah oleh tetangga,pembakaran sampah tetangga,1
15-Jan-21,Instagram,Keluar kota dari jogja apakah perlu PCR?,keluar kota perlu pcr,0
15-Jan-21,Instagram,Kebijakan PTKM,kebijakan ptkm,0
15-Jan-21,Instagram,SK tanggap darurat merapi,sk tanggap darurat merapi,0
15-Jan-21,Facebook Pemkab Sleman,Pelayanan Dukcapil,pelayanan dukcapil,0
15-Jan-21,Lapor Sleman,Cara Dan Syarat Nik Kartu Keluarga Agar Terdaftar Di Sistem Online,cara syarat nik kartu keluarga terdaftar sistem online,0
15-Jan-21,Website,Protokol kesehatan di TPA Masjid saat PTKM,protokol kesehatan tpa masjid ptkm,0
15-Jan-21,Twitter,Jam operasional toko selama PTKM,jam operasional toko selama ptkm,1
15-Jan-21,Twitter,Pengumpulan berkas ke Dinas Sosial,pengumpulan berkas dinas sosial,0
15-Jan-21,Twitter,Vaksin untuk penyintas covid 19,vaksin penyintas covid,0
15-Jan-21,Twitter,SK Bupati Sleman No. 94.98/Kep.KDH/A/2021,sk bupati no kepkdha,0
15-Jan-21,Twitter,Protokol kesehatan di TPA Masjid saat PTKM,protokol kesehatan tpa masjid ptkm,0
15-Jan-21,Twitter,Biaya rapid test,biaya rapid test,0
15-Jan-21,Email,Perihal izin mengadakan event,perihal izin mengadakan event,0
15-Jan-21,Email,Tetangga membakar sampai yang mengganggu kesehatan,tetangga membakar mengganggu kesehatan,1
16-Jan-21,Lapor Sleman,Prokes Di Warung Indomie,prokes warung indomie,0
16-Jan-21,Instagram,Bantuan UMKM tidak tepat sasaran,bantuan umkm tepat sasaran,0
16-Jan-21,Instagram,Data pembagian barak pengungsian merapi,data pembagian barak pengungsian merapi,0
16-Jan-21,Facebook Pemkab Sleman,Permohonan Jampersal,permohonan jampersal,0
17-Jan-21,Instagram,Pipa PDAM bocor,pipa pdam bocor,0
17-Jan-21,Lapor Sleman,Pelanggaran PSBB,pelanggaran psbb,0
17-Jan-21,Website,Penertiban warung - warung saat PTKM,penertiban warung warung ptkm,0
17-Jan-21,Twitter,RS untuk bersalin,rs bersalin,0
17-Jan-21,Twitter,Pedagang kaki lima berjualan tanpa protokol kesehatan saat PTKM,pedagang kaki lima berjualan protokol kesehatan ptkm,0
17-Jan-21,Twitter,Kedai kopi buka dan ramai saat PTKM,kedai kopi buka ramai ptkm,0
18-Jan-21,Website,Bantuan dampak covid - 19,bantuan dampak covid,0
18-Jan-21,Instagram,Update data kependudukan,update data kependudukan,0
18-Jan-21,Twitter,Pelanggaran Protokol kesehatan saat PTKM,pelanggaran protokol kesehatan ptkm,0
18-Jan-21,Website,Peningkatan jalan di Sleman,peningkatan jalan,0
18-Jan-21,Twitter,Mohon diberi drainase,diberi drainase,0
18-Jan-21,Instagram,Akun dan telepon Dukcapil,akun telepon dukcapil,0
18-Jan-21,Instagram,Mendapatkan SPPT,mendapatkan sppt,0
18-Jan-21,Facebook Pemkab Sleman,BLT untuk ibu hamil,blt ibu hamil,0
18-Jan-21,Twitter,Data belum masuk sistem,data masuk sistem,0
19-Jan-21,Instagram,Jalan berlubang,jalan berlubang,1
19-Jan-21,Twitter,Data kasus bertambahnya pasien covid-19,data kasus bertambahnya pasien covid,0
19-Jan-21,Lapor Sleman,Permohonan Informasi Desa Binaan,permohonan desa binaan,0
19-Jan-21,Twitter,Restoran ramai saat diberlakukan PTKM,restoran ramai diberlakukan ptkm,0
19-Jan-21,Facebook Grup ICJ,Layanan Dukcapil,layanan dukcapil,0
20-Jan-21,Instagram,Toko buka sampai malam di atsa jam 19.00 saat diberlakukan PTKM,toko buka atsa jam diberlakukan ptkm,0
20-Jan-21,Website,Permohonan pemasangan speed table,permohonan pemasangan speed table,0
20-Jan-21,Lapor Sleman,Tunjangan Hari Raya,tunjangan hari raya,0
20-Jan-21,Lapor Sleman,Galian Jalan Perumnas Memakan Korban,galian jalan perumnas memakan korban,0
20-Jan-21,Lapor Sleman,Mohon Respon Cepat! Lampu Lalin Persimpangan Ringroad Mati,respon cepat lampu lalin persimpangan ringroad mati,1
21-Jan-21,Instagram,Sudah tertib masih terkena razia Satpol PP saat diberlakukan PTKM,tertib terkena razia satpol pp diberlakukan ptkm,0
21-Jan-21,Lapor Sleman,SEKOLAH PAKSAKAN TATAP MUKA SAAT MASIH DIBERLAKUKAN PTKM,sekolah paksakan tatap muka diberlakukan ptkm,0
21-Jan-21,Instagram,Lampu APILL Perempatan Kentungan mati,lampu apill perempatan kentungan mati,1
21-Jan-21,Lapor Sleman,WAJIB DITINDAK: SEKOLAH DIAM DIAM TATAP MUKA TANPA PROKES SAAT DIBERLAKUKAN PTKM,wajib sekolah diam diam tatap muka prokes diberlakukan ptkm,0
21-Jan-21,Lapor Sleman,PONPES DI SLEMAN MAU ADAKAN PEMBELAJARAN TATAP MUKA SAAT DIBERLAKUKAN PTKM,ponpes adakan pembelajaran tatap muka diberlakukan ptkm,0
21-Jan-21,Facebook Pemkab Sleman,Sinkronisasi data kependudukan,sinkronisasi data kependudukan,0
21-Jan-21,Lapor Sleman,Pohon Bambu,pohon bambu,1
21-Jan-21,Lapor Sleman,Pelayanan Pecah Bidang Di BPN Sleman,pelayanan pecah bidang bpn,0
21-Jan-21,Instagram,Kabar Dinas Dukcapil klaster baru covid - 19,kabar dinas dukcapil klaster baru covid,0
21-Jan-21,Facebook Pemkab Sleman,Atap roboh terkena angin,atap roboh terkena angin,0
21-Jan-21,Twitter,Perpanjangan Pemberlakuan PTKM,perpanjangan pemberlakuan ptkm,0
21-Jan-21,Instagram,Perpanjangan Pemberlakuan PTKM,perpanjangan pemberlakuan ptkm,0
21-Jan-21,Website,Informasi tentnag dampak penggunaan Aplikasi Lapor Sleman,tentnag dampak penggunaan aplikasi,0
21-Jan-21,Website,Sinkronisasi data kependudukan,sinkronisasi data kependudukan,0
21-Jan-21,Website,Bantuan bagi korban meninggal akibat covid - 19,bantuan korban meninggal akibat covid,0
21-Jan-21,Lapor Sleman,Thr Yg Blm Di Bayarkan,thr bayarkan,0
21-Jan-21,Instagram,Jalan Desa,jalan desa,0
21-Jan-21,Instagram,Lonjakan kasus covid - 19,lonjakan kasus covid,0
21-Jan-21,Instagram,Menggelar hajatan saat diberlakukan PTKM,menggelar hajatan diberlakukan ptkm,0
21-Jan-21,Instagram,Jalan Gito - Gati,jalan gito gati,0
21-Jan-21,Instagram,Perpanjang SIM,perpanjang sim,0
21-Jan-21,Instagram,Seturan rame orang makan malam saat diberlakukan PTKM,seturan rame orang makan diberlakukan ptkm,0
21-Jan-21,Instagram,Bapak Bupati Sleman positif covid - 19,bapak bupati positif covid,0
21-Jan-21,Twitter,Ganti foto KTP,ganti foto ktp,0
21-Jan-21,Twitter,Mutasi KK online,mutasi kk online,0
22-Jan-21,Website,Patroli warung makan 24 jam saat diberlakukan PTKM,patroli warung makan jam diberlakukan ptkm,0
22-Jan-21,Lapor Sleman,Jalan Berlubang,jalan berlubang,1
22-Jan-21,Lapor Sleman,Ada Informasi Simpang Siur Yang Beredar Di Desa Rajek Wetan Mengemai Adanya Perubahan Peta Untuk Jalan Tol Jogja Bawen,simpang siur beredar desa rajek wetan mengemai adanya perubahan peta jalan tol bawen,0
22-Jan-21,Instagram,Warmindo untuk nongkrong sampai malam saat diberlakukan PTKM,warmindo nongkrong diberlakukan ptkm,0
22-Jan-21,Instagram,Pengambilan berkas di Dukcapil,pengambilan berkas dukcapil,0
22-Jan-21,Instagram,Tempat makan rame saat diberlakukan PTKM,tempat makan rame diberlakukan ptkm,0
22-Jan-21,Instagram,Hajatan dilaksanakan saat diberlakukan PTKM,hajatan dilaksanakan diberlakukan ptkm,0
22-Jan-21,Instagram,Dipasar banyak yang tidak memakai masker di saat diberlakukan PTKM,dipasar banyak memakai masker diberlakukan ptkm,0
22-Jan-21,Instagram,Pencarian orang tua,pencarian orang tua,0
22-Jan-21,Instagram,Perjalanan ke Sleman saat diberlakukan PTKM,perjalanan diberlakukan ptkm,0
22-Jan-21,Instagram,Berdagang di malam hari saat diberlakukan PTKM,berdagang hari diberlakukan ptkm,0
22-Jan-21,Lapor Sleman,Mohon Info Cetak KK,cetak kk,0
22-Jan-21,Lapor Sleman,Legalisir Akta Kelahiran,legalisir akta kelahiran,0
22-Jan-21,Lapor Sleman,Trotoar Rusak,trotoar rusak,1
22-Jan-21,Lapor Sleman,Pju Mati Lk 2 Minggu,pju mati lk minggu,1
22-Jan-21,Instagram,Laporan pelanggaran protokol kesehatan rumah makan saat diberlakukan PTKM,laporan pelanggaran protokol kesehatan rumah makan diberlakukan ptkm,0
22-Jan-21,Instagram,Kenapa diberlakukan PTKM dan bukan lockdown,diberlakukan ptkm bukan lockdown,0
22-Jan-21,Instagram,Pemberlakuan WFH dan WFO bagi UMKM saat diberlakukan PTKM,pemberlakuan wfh wfo umkm diberlakukan ptkm,0
22-Jan-21,Instagram,Warung Burjo banyak melakukan pelanggaran prokes saat diberlakukan PTKM,warung burjo banyak melakukan pelanggaran prokes diberlakukan ptkm,0
22-Jan-21,Instagram,Patroli warung makan saat diberlakukan PTKM,patroli warung makan diberlakukan ptkm,0
22-Jan-21,Twitter,Taman kota untuk berjualan duren,taman kota berjualan duren,0
22-Jan-21,Twitter,PIN untuk cetak KK,pin cetak kk,0
22-Jan-21,Twitter,KTP Rusak,ktp rusak,1
22-Jan-21,Website,Perraturan Protokol Kesehatan,perraturan protokol kesehatan,0
22-Jan-21,Website,Rekomendasi rencana kegiatan,rekomendasi rencana kegiatan,0
22-Jan-21,Website,Permohonan patroli saat diberlakukan PTKM,permohonan patroli diberlakukan ptkm,0
23-Jan-21,Instagram,Cafe buka dan ramai saat diberlakukan PTKM,cafe buka ramai diberlakukan ptkm,0
23-Jan-21,Instagram,Jalan berlubang,jalan berlubang,1
23-Jan-21,Instagram,Pelayanan online Dukcapil,pelayanan online dukcapil,0
23-Jan-21,Instagram,Dimohon setiap Kapanewon melakukan patroli prokes saat diberlakukan PTKM,dimohon kapanewon melakukan patroli prokes diberlakukan ptkm,0
23-Jan-21,Instagram,Permohonan patroli saat diberlakukan PTKM,permohonan patroli diberlakukan ptkm,0
23-Jan-21,Instagram,Perizinan IPPT,perizinan ippt,0
23-Jan-21,Instagram,Warung tutup saat diberlakukan PTKM,warung tutup diberlakukan ptkm,0
